Meta information
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

Advertiser Information
Account: 865581401903432,"Business: Daehan Auto (Cambodia) Co., Ltd",Chrokmates Commune Prey Pdao Village,"Bavet City, Cambodia",Cambodia,VAT TIN: L001-901702087

Billing Report: 06/01/2025 - 07/01/2025

Meta Ads payment
Payment Method: Visa · 1343
Date,Transaction ID,Amount,Currency
06/27/2025,9970767856368775-9919153761530186,12.79,USD
06/23/2025,9886598454785712-9919353008176931,935.55,USD
06/20/2025,9863241280454763-9894814327297466,990.00,USD
06/16/2025,9833022226810007-9962359983876228,990.00,USD
06/11/2025,9824362631009303-9730444970401061,429.15,USD
,Total Amount Billed,"3,357.49",USD

VAT Rate: 10%
VAT Amount: 305.22
